[03/Jul/2021 10:06:02] WARNING [django.request:224] Not Found: /
[03/Jul/2021 10:06:02] WARNING [django.request:224] Not Found: /favicon.ico
[03/Jul/2021 10:06:06] WARNING [django.request:224] Not Found: /favicon.ico
[03/Jul/2021 10:06:08] WARNING [django.request:224] Not Found: /favicon.ico
[03/Jul/2021 10:06:12] WARNING [django.request:224] Not Found: /media/pp.jpeg
[03/Jul/2021 10:06:12] WARNING [django.request:224] Not Found: /media/user_logo_USICyrd.png
[03/Jul/2021 10:06:12] WARNING [django.request:224] Not Found: /media/default.png
[03/Jul/2021 10:06:12] WARNING [django.request:224] Not Found: /media/pp.jpeg
[03/Jul/2021 10:06:12] WARNING [django.request:224] Not Found: /media/user_logo_USICyrd.png
[03/Jul/2021 10:06:12] WARNING [django.request:224] Not Found: /media/default.png
[03/Jul/2021 10:06:14] WARNING [django.request:224] Not Found: /media/pp.jpeg
[03/Jul/2021 10:06:14] WARNING [django.request:224] Not Found: /media/pp.jpeg
[03/Jul/2021 10:06:20] WARNING [django.request:224] Not Found: /media/pp_D9wSXF1.jpeg
[03/Jul/2021 10:06:41] WARNING [django.request:224] Not Found: /media/default.png
[03/Jul/2021 10:07:01] INFO [django.utils.autoreload:637] Watching for file changes with StatReloader
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:315] Waiting for apps ready_event.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:327] Apps ready_event triggered. Sending autoreload_started signal.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:281] Watching dir /home/anurat/blog_project/Deploy/users/templates with glob **/*.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:281] Watching dir /home/anurat/blog_project/Deploy/blog_backend/templates with glob **/*.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:281] Watching dir /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:281] Watching dir /home/anurat/blog_project/Deploy/locale with glob **/*.mo.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:281] Watching dir /home/anurat/blog_project/Deploy/users/locale with glob **/*.mo.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:281] Watching dir /home/anurat/blog_project/Deploy/blog/locale with glob **/*.mo.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:281] Watching dir /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1625246432.560184
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /usr/lib/python3.8/lib-dynload/_asyncio.cpython-38-x86_64-linux-gnu.so first seen with mtime 1622630955.0
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/rest_framework/serializers.py first seen with mtime 1625246434.6403122
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1625246432.7321947
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/PIL/Image.py first seen with mtime 1625246638.4307091
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /usr/lib/python3.8/multiprocessing/process.py first seen with mtime 1622630955.0
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/utils/datastructures.py first seen with mtime 1625246432.8642027
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /usr/lib/python3.8/sre_parse.py first seen with mtime 1622630955.0
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/core/handlers/exception.py first seen with mtime 1625246432.8242004
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/core/handlers/base.py first seen with mtime 1625246432.8242004
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/core/exceptions.py first seen with mtime 1625246432.8161998
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/core/checks/caches.py first seen with mtime 1625246432.8202002
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/views/decorators/common.py first seen with mtime 1625246432.8682032
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/utils/html.py first seen with mtime 1625246432.8642027
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /home/anurat/.local/share/virtualenvs/Deploy-y9iYnG9b/lib/python3.8/site-packages/django/contrib/messages/apps.py first seen with mtime 1625246432.7281945
[03/Jul/2021 10:07:01] DEBUG [django.utils.autoreload:379] File /usr/lib/python3.8/site.py first seen with mtime 1622630955.0
